Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Cook,0600145,University Food Services,0,Filled,"August 19, 2009 at 10:28 AM",21,1,"Pay scale begins at $11.00/hr minimum, experience considered in offer",1,No,"January 27, 2014 at 06:17 PM",20.07.2009,
Baker,0600146,University Food Services,0,Filled,"September 11, 2009 at 03:59 PM",21,0,Pay scale begins at $12.22/hr minimum,1,No,"January 27, 2014 at 06:17 PM",20.07.2009,2009-08-17
Full-time Faculty - Music,0600240,Academic Office,0,Filled,"October 28, 2010 at 03:02 PM",9,0,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",18.04.2010,2010-08-24
Online Adjunct Faculty--CHILD 210 Child Development,0600131,Online Learning Administration,1,Filled,"July 30, 2009 at 10:58 AM",48,1,,,,"January 27, 2014 at 06:17 PM",25.06.2009,
Online Adjunct Faculty--FDWLD 200 World Foundations II,0600141,Online Learning Administration,0,Filled,"July 30, 2009 at 10:29 AM",15,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,2010-01-05
Office Assistant I,0600245,Online Instruction,0,Filled,"June 16, 2010 at 09:06 AM",36,2,"Payscale begins at $26,000/yr",1,,"January 27, 2014 at 06:17 PM",15.04.2010,2010-05-16
Online Adjunct Faculty--FDREL 200 Family Foundations,0600138,Online Learning Administration,0,Filled,"July 29, 2009 at 05:41 PM",33,1,,,,"January 27, 2014 at 06:17 PM",25.06.2009,2010-01-05
Online Adjunct Faculty--FDMAT 221 Business Statistics,0600134,Online Learning Administration,0,Filled,"July 30, 2009 at 11:18 AM",14,0,,,,"January 27, 2014 at 06:17 PM",25.06.2009,2010-01-05
Office Assistant I,,Home & Family,0,Filled,"August 19, 2009 at 10:20 AM",3,0,Payscale starts at $12.22/hr; employees should consult with HR for more specific information,.75,,"January 27, 2014 at 06:17 PM",03.08.2009,2009-09-01
Head Resident,0600147,Housing & Student Living,0,Filled,"September 11, 2009 at 03:58 PM",47,0,Stipend of $765/month plus 2 bdr apartment (utilitites & local phone included),.70,,"January 27, 2014 at 06:17 PM",21.07.2009,2009-08-24
Pathway Manager,0600244,Online Learning Administration,0,Filled,"June 16, 2010 at 08:46 AM",83,2,"Pay scale begins at a minimum of $57,000/yr",1,,"January 27, 2014 at 06:17 PM",21.04.2010,2010-06-01
Office Assistant II,,Performing & Visual Arts,0,Filled,"August 24, 2009 at 11:10 AM",8,0,Pay scale begins at $15.00/hr; employees should consult with HR for more specific information,.83,,"January 27, 2014 at 06:17 PM",03.08.2009,2009-09-01
Boiler Operator/Mechanic,0600149,Heating Plant,0,Filled,"September 30, 2009 at 10:33 AM",18,0,"Pay scale begins at $39,000/year; experience considered for offer",1,,"January 27, 2014 at 06:17 PM",02.09.2009,2009-09-07
Transfer Evaluation Specialist,0600150,Student Records & Registration,0,Filled,"September 11, 2009 at 03:58 PM",100,2,Pay scale begins at $12.22/hr,1,,"January 27, 2014 at 06:17 PM",19.08.2009,2009-09-15
Apprentice Electrician,0600262,Electrical Shop,0,Filled,"June 16, 2010 at 08:31 AM",11,0,Pay scale begins at $13.85/hr,.75,,"January 27, 2014 at 06:17 PM",26.05.2010,2010-06-16
Research & Development Manager,0600264,Curriculum Development,0,Filled,"July 22, 2010 at 10:05 AM",13,0,"Pay scale begins at a minimum of $57,000/yr",1,,"January 27, 2014 at 06:17 PM",21.06.2010,2010-08-01
Course & Media Development Manager,0600265,Curriculum Development,0,Filled,"July 27, 2010 at 05:05 PM",11,1,"Payscale begins at $57,000/yr",1,,"January 27, 2014 at 06:17 PM",21.06.2010,2010-08-01
Cook,0600251,University Food Services,0,Filled,"June 16, 2010 at 08:22 AM",31,0,Pay scale minimum starts at $11.28/hr,1,No,"January 27, 2014 at 06:17 PM",13.05.2010,2010-06-01
Travel Services Coordinator,,University Operations,0,Filled,"October 14, 2009 at 09:54 AM",6,0,"Pay scale begins at $44,160/year",1,,"January 27, 2014 at 06:17 PM",03.09.2009,2009-09-17
Head Resident,0600266,Housing & Student Living,0,Filled,"June 18, 2010 at 12:57 PM",29,1,Monthly stipend of $765; 2 bdr apartment (with utilities and local phone),.70,,"January 27, 2014 at 06:17 PM",06.06.2010,2010-07-01
HVAC Facilities Technician,0600269,HVAC Shop,0,Filled,"July 29, 2010 at 12:43 PM",19,0,"Payscale begins at a minimum $39,900/yr",1,,"January 27, 2014 at 06:17 PM",24.06.2010,2010-07-19
Student Recruitment Coordinator,0600306,Admissions,0,Filled,"January 27, 2011 at 04:27 PM",92,3,"Payscale begins at a minimum of $44,900/yr",1,,"January 27, 2014 at 06:17 PM",27.09.2010,2010-11-16
Petitions Specialist,,Student Records & Registration,0,Filled,"June 30, 2010 at 08:43 AM",4,0,,1,,"January 27, 2014 at 06:17 PM",18.06.2010,2010-07-01
Admissions Coordinator,0600305,Admissions,0,Filled,"December 08, 2010 at 04:02 PM",107,1,"Payscale begins at a minimum of $44,900/yr",1,,"January 27, 2014 at 06:17 PM",27.09.2010,2010-11-16
Cook,0600153,University Food Services,0,Filled,"October 16, 2009 at 08:29 AM",17,2,Pay scale begins at $11.00/hr; experience considered for offer,1,No,"January 27, 2014 at 06:17 PM",28.09.2009,2009-10-16
Student Honor Administrator,0600191,Student Honor Office,0,Filled,"November 23, 2009 at 03:42 PM",97,1,"Payscale starts at $56,000/yr",1,,"January 27, 2014 at 06:17 PM",28.10.2009,2009-12-01
Office Assistant I,0600311,University Security & Safety,0,Filled,"October 13, 2010 at 07:28 PM",45,1,Pay scale begins at a minimum of $12.51/hr; employees should meet with HR for specific information,1,,"January 27, 2014 at 06:17 PM",23.09.2010,2010-11-01
Custodian,0600307,Custodial Services,0,Filled,"March 07, 2011 at 04:06 PM",44,2,Pay scale begins at $11.28/hr,1.0,,"January 27, 2014 at 06:17 PM",22.09.2010,2010-11-01
Application Analyst,0600194,Information Technology,0,Filled,"January 25, 2010 at 12:55 PM",30,0,"Pay scale begins at $56,000/yr; offer will consider experience/expertise",1,,"January 27, 2014 at 06:17 PM",01.12.2009,2009-01-01
Curriculum Development Manager,0600190,Curriculum Development,0,Filled,"November 23, 2009 at 03:43 PM",27,2,"Pay scale begins at $56,000/yr",,,"January 27, 2014 at 06:17 PM",15.10.2009,2010-01-01
Full-time Faculty - Animal Science (Veterinary Technician),0600332,Academic Office,0,Filled,"April 19, 2011 at 03:56 PM",3,1,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",12.12.2010,2011-04-18
Project Management Officer,,Information Technology,0,Filled,"December 17, 2009 at 04:49 PM",1,0,"Pay scale begins at a minimum of $83,075; experience considered for offer",1,,"January 27, 2014 at 06:17 PM",30.11.2009,2010-01-01
Full-time Faculty - Mathematics,0600197,Academic Office,0,Filled,"October 28, 2010 at 03:53 PM",12,0,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",31.01.2010,2010-08-23
Full-time Faculty - Home and Family,0600200,Academic Office,0,Filled,"October 28, 2010 at 03:56 PM",20,1,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",31.01.2010,2010-08-23
Office Assistant I,,Human Performance & Recreation,0,Filled,"June 07, 2010 at 03:37 PM",1,0,Payscale begins at $12.51/hr; employees should review specific wage information with Human Resources,.50,No,"January 27, 2014 at 06:17 PM",07.02.2010,2010-03-16
Online Adjunct Faculty--MATH 100G: Personal Finance,0600358,Online Learning Administration,0,Filled,"April 21, 2011 at 03:32 PM",18,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",01.12.2010,2011-04-19
Online Adjunct Faculty--B 321: Organizational Behavior,0600361,Online Learning Administration,0,Filled,"April 21, 2011 at 03:33 PM",16,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",01.12.2010,2011-04-19
Online Adjunct Faculty--FDREL 301: Old Testament,0600357,Online Learning Administration,1,Filled,"February 26, 2016 at 01:15 PM",24,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Online Adjunct Faculty--FDENG 201: Advanced Writing,0600354,Online Learning Administration,0,Filled,"March 18, 2011 at 04:19 PM",18,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",30.12.2010,2011-04-11
Online Adjunct Faculty--COMM 250: Intro to Organizational Communication,0600362,Online Learning Administration,0,Filled,"March 18, 2011 at 03:46 PM",21,1,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Full-time Faculty - Health Science,0600204,Academic Office,0,Filled,"April 19, 2010 at 08:04 AM",21,1,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",31.01.2010,2010-08-23
Scheduling Specialist,,Student Records & Registration,0,Filled,"November 24, 2009 at 08:20 AM",9,0,Pay scale starts at $12.51/hr (for 2010),1,,"January 27, 2014 at 06:17 PM",02.11.2009,2009-12-01
Online Adjunct Faculty--ENG 332: British Literature - Neoclassic and Romantic,0600365,Online Learning Administration,0,Filled,"April 21, 2011 at 03:45 PM",4,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Full-time Faculty - Nursing (Clinical),0600205,Academic Office,0,Filled,"October 28, 2010 at 03:45 PM",2,0,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",14.02.2010,2010-08-23
Full-time Faculty - Art,0600206,Academic Office,0,Filled,"October 28, 2010 at 03:41 PM",9,0,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",14.02.2010,2010-08-23
Full-time Faculty - Sociology & Social Work,0600209,Academic Office,0,Filled,"October 28, 2010 at 03:47 PM",19,2,Dependent on education and experience.,,,"January 27, 2014 at 06:17 PM",14.02.2010,2010-08-23
AV/Electronics Technician,0600212,Academic Technology Services,0,Filled,"April 15, 2010 at 08:57 AM",20,0,"Pay scale begins at $40,000; experience considered for offer",1,,"January 27, 2014 at 06:17 PM",03.02.2010,2010-03-01
Online Adjunct Faculty--FDHUM 103: Art and Propaganda in the 20th Century,0600368,Online Learning Administration,0,Filled,"March 18, 2011 at 04:22 PM",9,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Online Adjunct Faculty--ENG 355: Children's Literature,0600367,Online Learning Administration,0,Filled,"April 21, 2011 at 03:37 PM",22,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Groundskeeper,0600230,Grounds,0,Filled,"March 31, 2010 at 07:40 PM",49,0,"Pay scale begins at $28,800/yr",1,,"January 27, 2014 at 06:17 PM",02.03.2010,2010-04-01
College Career & Academic Advisor,,Online Instruction,0,Filled,"March 12, 2010 at 04:43 PM",14,0,Payscale begins at $19.21/hr; employees should review specific wage information with Human Resources,1,,"January 27, 2014 at 06:17 PM",03.02.2010,2010-03-01
Online Adjunct Faculty-FDMAT 222: Bio Statistics,0600369,Online Learning Administration,0,Filled,"April 21, 2011 at 03:38 PM",7,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Online Adjunct Faculty--FDMAT 223: Social Science Statistics,0600370,Online Learning Administration,0,Filled,"April 21, 2011 at 03:39 PM",8,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Online Adjunct Faculty--FDREL 333: Teachings of the Living Prophets,0600371,Online Learning Administration,0,Filled,"February 26, 2016 at 11:48 AM",23,1,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",03.12.2010,2011-04-19
Office Assistant II,,Teacher Education,0,Filled,"June 16, 2010 at 09:00 AM",4,0,"Pay scale begins at $31,900/yr; employees should consult with HR for more specific information",1.0,,"January 27, 2014 at 06:17 PM",25.05.2010,
Office Assistant II,,Education & Human Development,0,Filled,"June 16, 2010 at 08:53 AM",10,0,Pay scale begins at a minimum of $15.35/hr; employees should consult with HR for more specific info,.92,,"January 27, 2014 at 06:17 PM",14.04.2010,2010-06-01
Postal Specialist,,Mail Services,0,Filled,"April 13, 2010 at 10:50 AM",11,0,Pay scale starts at $10.27/hr,1,,"January 27, 2014 at 06:17 PM",31.03.2010,2010-04-01
Project Coordinator,0600233,Academic Technology Services,0,Filled,"June 16, 2010 at 09:41 AM",18,1,"Payscale begins at $57,000/yr",1,,"January 27, 2014 at 06:17 PM",09.03.2010,2010-04-15
Online Adjunct Faculty--COMM 350:Group Dynamics,0600373,Online Learning Administration,0,Filled,"April 21, 2011 at 03:39 PM",21,1,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Online Adjunct Faculty-GS 103: Study Skills Modules,0600372,Online Learning Administration,0,Filled,"April 21, 2011 at 03:34 PM",42,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",03.12.2010,2011-04-19
Surplus Specialist,0600232,Purchasing & Travel,0,Filled,"March 31, 2010 at 07:28 PM",28,0,Pay scale begins at $12.50/hr,.40,,"January 27, 2014 at 06:17 PM",04.03.2010,2010-04-01
Full-time Faculty - Home & Family,0600241,Academic Office,0,Filled,"October 28, 2010 at 03:00 PM",10,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:17 PM",18.04.2010,2010-08-23
Scheduling Specialist,0600234,Student Records & Registration,0,Filled,"April 15, 2010 at 08:56 AM",51,1,Pay scale begins at $12.51/hr,1,,"January 27, 2014 at 06:17 PM",16.03.2010,2010-04-16
Cashier,,Cashier & Ticket Services,0,Filled,"April 13, 2010 at 10:48 AM",5,0,Pay scale begins at $12.51/hr; employees need to visit with HR for specific salary information,.92,,"January 27, 2014 at 06:17 PM",04.03.2010,2010-04-01
Online Adjunct Faculty--FDMAT 108: Mathematical Tools for the Real World,0600374,Online Learning Administration,0,Filled,"March 18, 2011 at 04:41 PM",11,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Office Assistant II,0600235,Housing & Student Living,0,Filled,"June 16, 2010 at 09:07 AM",70,0,"Pay scale begins at a minimum of $31,900/yr",1,,"January 27, 2014 at 06:17 PM",22.03.2010,2010-04-16
Financial Aid Advisor,,Student Financial Aid ,0,Filled,"April 13, 2010 at 10:47 AM",19,0,"Pay scale begins at $35,650/yr; employees should discuss specific salary with HR",1.0,No,"January 27, 2014 at 06:17 PM",11.03.2010,2010-04-16
Online Adjunct Faculty--ACCTG 202: Managerial Accounting,0600375,Online Learning Administration,0,Filled,"April 21, 2011 at 03:40 PM",11,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",31.12.2010,2011-04-19
Online Adjunct Faculty--COMM 250: Intro to Organizational Communication,0600376,Online Learning Administration,0,Filled,"March 18, 2011 at 03:48 PM",17,0,$815 per course credit hour (most courses are 2-3 credits),,,"January 27, 2014 at 06:17 PM",03.12.2010,2011-04-19
Academic Applications Analyst (1 Year Temporary),0600246,Academic Technology Services,0,Filled,"May 19, 2010 at 10:13 AM",8,0,"Offer depends on qualifications; fully qualified minimum salary is $57,000/yr",1,,"January 27, 2014 at 06:17 PM",27.04.2010,2010-05-16
Head Resident,0600377,Housing & Student Living,0,Filled,"December 23, 2010 at 04:36 PM",26,1,Monthly stipend of $765 and 2 bdr apartment (with utilities and local phone),.7,,"January 27, 2014 at 06:17 PM",29.11.2010,2010-12-16
Chiller Technician,0600263,HVAC Shop,0,Filled,"July 15, 2010 at 02:47 PM",15,1,"Pay scale begins at $44,955/yr",1,,"January 27, 2014 at 06:17 PM",23.06.2010,2010-07-16
Testing Center Assistant I,0600247,Testing Center,0,Filled,"June 16, 2010 at 09:06 AM",20,2,Pay scale begins at a minimum of $10.27/hr,1,,"January 27, 2014 at 06:17 PM",21.04.2010,2010-05-16
Arborist,0600380,Grounds,0,Filled,"January 27, 2011 at 04:28 PM",24,0,"Starting salary $35,657/yr",1,,"January 27, 2014 at 06:17 PM",04.01.2011,2011-02-01
Pathway International Director,0600254,Online Learning Administration,0,Filled,"August 30, 2010 at 08:29 AM",36,0,"Pay scale begins at $73,000/yr",1,,"January 27, 2014 at 06:17 PM",13.05.2010,2010-07-01
Sound Engineer/Lighting Assistant,0600280,Events Management,0,Filled,"August 19, 2010 at 01:16 PM",17,0,"Payscale begins at a minimum of $44,900/yr",1,,"January 27, 2014 at 06:17 PM",26.07.2010,
Internships & Career Services Director,,International Services,0,Filled,"June 16, 2010 at 08:51 AM",4,0,"Pay scale begins at a minimum of $73,000/yr",1,,"January 27, 2014 at 06:17 PM",27.04.2010,2010-05-01
Office Assistant III,,Academic Office,0,Filled,"June 16, 2010 at 09:02 AM",16,0,"Pay scale begins at $35,650/year; employees should consult with HR for specific information",1,,"January 27, 2014 at 06:17 PM",10.05.2010,2010-06-01
Admissions Specialist,,Admissions,0,Filled,"December 16, 2010 at 09:54 AM",6,0,Pay scale begins at $11.28/hr,1,,"January 27, 2014 at 06:17 PM",14.09.2010,2010-10-01
Financial Aid Advisor (2 openings),0600248,Student Financial Aid ,0,Filled,"May 18, 2010 at 11:39 AM",97,0,"Pay scale begins at a minimum of $35,650/yr",1.0,No,"January 27, 2014 at 06:17 PM",26.04.2010,2010-06-01
Office Assistant I,0600381,Online Instruction,0,Filled,"February 08, 2011 at 09:44 AM",48,4,"Starting salary $26,000/yr",1,,"January 27, 2014 at 06:17 PM",05.01.2011,2011-02-01
Billing and Coding Specialist,0600300,Student Health Center,0,Filled,"November 05, 2010 at 09:43 AM",12,0,"Pay scale begins at a minimum of $35,600/yr.",1.0,,"January 27, 2014 at 06:17 PM",14.09.2010,2010-10-18
Transfer Evaluation Specialist,0600384,Student Records & Registration,0,Filled,"February 08, 2011 at 09:45 AM",87,4,"Starting salary $31,938/yr",1,,"January 27, 2014 at 06:17 PM",05.01.2011,2011-02-01
Counselor,0600270,Counseling,0,Filled,"August 30, 2010 at 10:02 AM",48,0,"Payscale begins at a minimum of $64,400/yr",1,,"January 27, 2014 at 06:17 PM",01.07.2010,2010-09-01
Online Programs Advisor,0600383,Online Instruction,0,Filled,"March 03, 2011 at 01:33 PM",76,2,"Staring salary $39,950/yr",1,,"January 27, 2014 at 06:17 PM",04.01.2011,2011-02-15
Groundskeeper,,Grounds,0,Filled,"May 28, 2010 at 12:47 PM",1,0,,1,,"January 27, 2014 at 06:17 PM",20.05.2010,2010-06-01
Curriculum Development Manager,0600268,Curriculum Development,0,Filled,"August 19, 2010 at 01:18 PM",20,0,"Payscale begins at $57,000/yr",1,,"January 27, 2014 at 06:17 PM",24.06.2010,2010-07-26
Security Officer,0600261,University Security & Safety,0,Filled,"June 29, 2010 at 08:18 PM",52,1,Pay scale begins at $15.35/hr,.75,,"January 27, 2014 at 06:17 PM",02.06.2010,2010-07-01
Software Engineer (1 Year Temporary),0600284,Software Engineering,0,Filled,"August 30, 2010 at 08:27 AM",9,0,"Payscale begins at a minimum of $57,000/yr",1,,"January 27, 2014 at 06:17 PM",01.08.2010,2010-09-01
Office Assistant III,,Human Resources,0,Filled,"June 15, 2010 at 04:21 PM",17,0,"Payscale begins at $35,650/yr; employees should consult with HR for more specific information",1.0,,"January 27, 2014 at 06:17 PM",19.05.2010,2010-06-16
Internship Coordinator,0600285,International Services,0,Filled,"August 30, 2010 at 10:06 AM",92,2,"Payscale begins at a minimum of $50,600/yr",1,,"January 27, 2014 at 06:17 PM",26.07.2010,2010-09-01
Office Assistant I,0600267,Alumni,0,Filled,"July 08, 2010 at 04:17 PM",53,2,Pay scale begins at $12.51/hr,.50,,"January 27, 2014 at 06:17 PM",17.06.2010,2010-07-12
